cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
kinaya,H02,CmACS,K.M.B,22,26,0.2974267069418608,0.9987828076582442,1.983474890418323
kinaya,H03,CmACO,K.15.C,21,25,0.2950146458486164,0.9986775366994243,1.9724892538651504
kinaya,H04,CmACO,K.M.A,22,26,0.2948469523756948,0.9977147968542757,1.9717277665915838
kinaya,H05,CmATH,K.15.B,22,26,0.31858429547294215,0.9987907580740196,2.082496573372241
kinaya,H06,CmATH,K.30.C,21,25,0.31368756602081727,0.999025254655081,2.0591480172175602
kinaya,H07,CmEREBP,K.15.A,18,22,0.31651092198150244,0.9979826942939372,2.0725781817643356
kinaya,H08,CmEREBP,K.30.B,19,23,0.2896566106168751,0.9979891216179209,1.9483034995861537
kinaya,H09,CmEREBP,K.M.C,17,21,0.32315750471965154,0.9988817039916145,2.104541551296498
kinaya,H10,CmCYP,K.30.A,12,16,0.3842793118377943,0.9985123359785616,2.422586606409845
kinaya,H11,CmCYP,K.M.B,18,22,0.3148249125704783,0.9977679005051542,2.064547657971664
melona,A01,CmACS,M.15.A,32,36,0.27051148775442974,0.9998187807968048,1.8642814907019998
melona,A02,CmACS,M.30.B,24,28,0.2785741747884534,0.9997313244031464,1.899215188509617
melona,A03,CmACS,M.M.C,16,20,0.32919981432471873,0.9984952347765179,2.134026530481729
melona,A04,CmACO,M.30.A,19,23,0.29868841041833316,0.9977159965978836,1.9892456196839499
melona,A05,CmACO,M.M.B,14,18,0.30210627051212524,0.9982308144108837,2.004962575465821
melona,A06,CmATH,M.15.C,17,27,0.37346504311425904,0.9998062866951893,2.3630071902052343
melona,A07,CmATH,M.M.A,21,25,0.2755663172101707,0.9972941488026058,1.886106957957236
melona,A08,CmEREBP,M.15.B,21,25,0.34038702468664417,0.9974436031244537,2.1897121326106106
melona,A09,CmEREBP,M.30.C,19,23,0.3087324212602196,0.9947010599532113,2.035787396160253
melona,A10,CmCYP,M.15.A,19,23,0.27805447726370675,0.9986576670731371,1.8969438561466254
melona,A11,CmCYP,M.30.B,10,17,0.36579805044518565,0.9993446408483158,2.321656960814836
melona,A12,CmCYP,M.M.C,18,22,0.28776672587906166,0.9977609303024901,1.9398436426768428
melona,B01,CmACS,M.15.A,32,36,0.27051148775442974,0.9998187807968048,1.8642814907019998
melona,B02,CmACS,M.30.B,26,30,0.27610659903266266,0.9975493628475703,1.8884548197633828
melona,B03,CmACS,M.M.C,16,20,0.30329877382103954,0.9997940550940105,2.010475447860599
melona,B04,CmACO,M.30.A,19,23,0.29273940510232993,0.9984965819574096,1.962182531736313
melona,B05,CmACO,M.M.B,13,17,0.31395198825923787,0.9990374442700641,2.060402120919716
melona,B06,CmATH,M.15.C,16,26,0.390003082390706,0.9998224534278354,2.454726337962112
melona,B07,CmATH,M.M.A,18,22,0.34223289109673016,0.9984089425027497,2.1990387946581187
melona,B08,CmEREBP,M.15.B,22,26,0.31157284616094877,0.9976871470819189,2.04914573353574
melona,B09,CmEREBP,M.30.C,16,20,0.37265189807980076,0.998562332843111,2.3585869869810665
melona,B10,CmCYP,M.15.A,19,23,0.28138008272743376,0.9992441746559846,1.9115254418506553
melona,B11,CmCYP,M.30.B,15,19,0.3078072924501554,0.9981731544228233,2.031455402289366
melona,B12,CmCYP,M.M.C,15,19,0.3818972992830274,0.9992370004940823,2.409335608520668
melona,C01,CmACS,M.15.B,31,35,0.3109983991825076,0.999376255142784,2.0464370935057974
melona,C02,CmACS,M.30.C,23,27,0.30940024890823936,0.9984137959767931,2.0389202956459265
melona,C03,CmACO,M.15.A,22,26,0.32080107614524156,0.9982385354671988,2.0931534900995272
melona,C04,CmACO,M.30.B,14,18,0.3663771717397378,0.998852233035144,2.32475489984603
melona,C05,CmACO,M.M.C,18,22,0.2970485528060012,0.9988552204573542,1.981748566900829
melona,C06,CmATH,M.30.A,19,23,0.3586643636057654,0.997934184655633,2.2838331033303687
melona,C07,CmATH,M.M.B,20,24,0.29193408599325127,0.9981389409004567,1.9585473970983411
melona,C08,CmEREBP,M.15.C,23,27,0.3288734526520896,0.9987335727295122,2.1324234641880695
melona,C09,CmEREBP,M.M.A,16,20,0.30302026270024696,0.9990831154554042,2.009186552218205
melona,C10,CmCYP,M.15.B,16,20,0.3451821474164935,0.9989823468107357,2.2140230981679836
melona,C11,CmCYP,M.30.C,15,19,0.3077836132041376,0.9982484748883456,2.0313446432931257
