cultivar,well,target,content,sample,cultivar_code,stage,bio_rep,cq,set_point
tacapa,C07,CmATH,Unkn,T.M.B,T,M,B,26.306802,55.3
tacapa,C08,CmEREBP,Unkn,T.15.C,T,15,C,25.109022,55.3
tacapa,C09,CmEREBP,Unkn,T.M.A,T,M,A,24.891149,55.3
tacapa,C10,CmCYP,Unkn,T.15.B,T,15,B,21.315822,55.3
tacapa,C11,CmCYP,Unkn,T.30.C,T,30,C,24.156749,55.3
tacapa,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
tacapa,D01,CmACS,Unkn,T.15.B,T,15,B,30.523629,55.3
tacapa,D02,CmACS,Unkn,T.30.C,T,30,C,30.299898,55.3
tacapa,D03,CmACO,Unkn,T.15.A,T,15,A,27.090393,55.3
tacapa,D04,CmACO,Unkn,T.30.B,T,30,B,27.036653,55.3
tacapa,D05,CmACO,Unkn,T.M.C,T,M,C,24.240285,55.3
tacapa,D06,CmATH,Unkn,T.30.A,T,30,A,27.78248,55.3
tacapa,D07,CmATH,Unkn,T.M.B,T,M,B,26.238569,55.3
tacapa,D08,CmEREBP,Unkn,T.15.C,T,15,C,24.929646,55.3
tacapa,D09,CmEREBP,Unkn,T.M.A,T,M,A,24.885771,55.3
tacapa,D10,CmCYP,Unkn,T.15.B,T,15,B,21.415004,55.3
tacapa,D11,CmCYP,Unkn,T.30.C,T,30,C,24.014008,55.3
tacapa,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
tacapa,E01,CmACS,Unkn,T.15.C,T,15,C,30.914686,55.3
tacapa,E02,CmACS,Unkn,T.M.A,T,M,A,30.626771,55.3
tacapa,E03,CmACO,Unkn,T.15.B,T,15,B,24.487918,55.3
tacapa,E04,CmACO,Unkn,T.30.C,T,30,C,28.19478,55.3
tacapa,E05,CmATH,Unkn,T.15.A,T,15,A,30.184665,55.3
tacapa,E06,CmATH,Unkn,T.30.B,T,30,B,28.033356,55.3
tacapa,E07,CmATH,Unkn,T.M.C,T,M,C,25.903132,55.3
tacapa,E08,CmEREBP,Unkn,T.30.A,T,30,A,24.686703,55.3
tacapa,E09,CmEREBP,Unkn,T.M.B,T,M,B,22.843764,55.3
tacapa,E10,CmCYP,Unkn,T.15.C,T,15,C,21.241014,55.3
tacapa,E11,CmCYP,Unkn,T.M.A,T,M,A,23.992321,55.3
tacapa,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
tacapa,F01,CmACS,Unkn,T.15.C,T,15,C,31.028639,55.3
tacapa,F02,CmACS,Unkn,T.M.A,T,M,A,30.601364,55.3
tacapa,F03,CmACO,Unkn,T.15.B,T,15,B,24.525684,55.3
tacapa,F04,CmACO,Unkn,T.30.C,T,30,C,28.145987,55.3
tacapa,F05,CmATH,Unkn,T.15.A,T,15,A,30.285801,55.3
tacapa,F06,CmATH,Unkn,T.30.B,T,30,B,28.128798,55.3
